FECHA,OPCION_1,OPCION_2,POSTRE
2026-03-02,"HUEVOS RELLENOS / CARNE AL HORNO / PAPAS Y CALABAZAS","CHAW FAN / ARROZ SALTEADO CON VEGETALES Y SOJA","ENSALADA DE FRUTAS"
2026-03-03,"TORTILLA DE VERDURAS / SORRENTINOS, MOSTACHOLES, SPAGHETTIS / SALSAS PARISIEN, TUCO, BLANCA","BONDIOLA DE CERDO MECHADA / PURE DE BATATAS","DURAZNOS EN ALMIBAR"
2026-03-04,"ARROLLADO PRIMAVERA / FILET MILANESA, MEDALLON DE PESCADO / CON PAPAS Y CALABAZAS ASADAS","VARIEDAD DE TARTAS / JAMON Y QUESO / VERDURA","FLAN DE VAINILLA"
2026-03-05,"BUÑUELOS DE ACELGA / POLLO AL HORNO / ARROZ BLANCO Y AMARILLO","MILANESAS DE BERENJENAS / RUEDAS DE CALABAZA AL OLEO","HELADO"
2026-03-06,"OMELLETTE CEBOLLA Y QUESO / MILANESA DE TERNERA / PURE DE PAPAS","CREPES DE JAMON Y QUESO EN SALSA ROSA","ALFAJORITO DE MAICENA"
2026-03-09,"BASTONCITOS DE QUESO REBOZADOS / POLLO CON SALSA DE VERDEO / CON ARROZ AL OLEO","REVUELTO GRAMAJO","ENSALADA DE FRUTAS"
2026-03-10,"HUEVOS RELLENOS / MILANESA DE TERNERA / CALABAZAS, ZANAHORIAS Y PAPAS AL HORNO","VARIEDAD DE TARTAS / JAMON Y QUESO Y CHOCLO","GELATINA"
2026-03-11,"VITEL TONNE / ÑOQUIS, FUSSILES, TALLARINES / SALSAS ESTOFADO, POMODORO, 4 QUESOS","MATAMBRITO DE TERNERA A LA PIZZA / RUEDAS DE CALABAZA AL OLEO","FLAN DE VAINILLA"
2026-03-12,"ARROLLADITOS DE PIONONOS PRIMAVERA / CARNE AL HORNO / SALSA DEMIGLACE / PURE DE PAPAS / PURE DE ZAPALLO","LASAGNA DE VERDURAS Y RICOTTA EN SALSA ROSA","HELADO"
2026-03-13,"BUÑUELOS DE ACELGA / FILET MILANESA Y MEDALLON DE PESCADO / CALABAZA, BATAS Y PAPAS","BROCHETTE DE CERDO / CON BROCOLI Y COLIFLOR AL GRATEN","DURAZNOS EN ALMIBAR"
2026-03-16,"HUEVOS RELLENOS / CARNE AL HORNO AL ROMERO / PURE MIXTO","RAGOUT DE CERDO","HELADO"
2026-03-17,"OMELETTE DE CEBOLLA Y QUESO / RAVIOLES, FUCCILES 3 VEGETALES, SPAGHETTI / SALSAS FILETTO, ROSA, PARMESANO","BROCHETTE DE TERNERA / TORTILLA DE VERDURAS","ENSALADA DE FRUTAS FRESCAS"
2026-03-18,"EMPANADAS JAMON Y QUESO / POLLO AL HORNO / CON PAPAS Y BATATAS ESPAÑOLAS","MIL HOJAS DE PESCADO","FLAN DE VAINILLA"
2026-03-19,"BUÑUELOS DE ACELGA / MILANESA DE TERNERA / ARROZ BLANCO Y AZAFRANADO","CHAW MIEN / VEGETALES CON FIDEOS Y SALSA DE SOJA","GELATINA"
2026-03-20,"ROLLITOS DE JAMON Y QUESO / TACOS MEXICANOS (dados de carne, de pollo, juliana de verduras) / PAPAS BASTON","MILANESA DE BERENJENAS A LA NAPOLITANA / ACELGA A LA CREMA","BUDIN DE MANZANA"
2026-03-23,"FERIADO","",""
2026-03-24,"FERIADO","",""
2026-03-25,"HUEVOS RELLENOS / ÑOQUIS, TIRABUZONES, SPAGUETIS / SALSAS TUCO, PARISIEN, BECHAMEL","MILANESA DE BERENJENAS O ZUCCHINIS CON QUESO / WOK DE VEGETALES","DURAZNOS EN ALMIBAR"
2026-03-26,"BRUSCHETTA CAPRESE / MILANESA DE TERNERA / CON CALABAZAS Y PAPAS AL HORNO","VARIEDAD DE TARTAS / JAMON Y QUESO Y PASCUALINA","ENSALADA DE FRUTAS"
2026-03-27,"BUÑUELITO DE ACELGA / VARIEDAD DE PIZZAS / MOZZARELLA, CON JAMON, CON TOMATE Y HUEVO","NUGGETS DE POLLO / CON TORTILLA DE PAPAS","GELATINA DOS SABORES"
2026-03-30,"OMELLETTE JAMON Y QUESO / COLITA DE CUADRIL AL HORNO / SALSA CRIOLLA / PAPAS Y CALABAZAS ASADAS","CHAW FAN (Arroz salteado con zanahoria, verdeo, huevo y soja)","ENSALADA DE FRUTAS"
2026-03-31,"VITEL TONNE / SORRENTINOS, FUSSILES, SPAGHETTIS / SALSAS TUSO, PARISIEN, ROSA","BROCHETTE DE CERDO / TORTILLA DE VERDURAS","FLAN"
